'Time','Val'
0,-6.789199829,
0.1,-6.543922424,
0.2,-6.487709045,
0.3,-6.536254883,
0.4,-6.725326538,
0.5,-6.957832336,
0.6,-7.246543884,
0.7,-7.52759552,
0.8,-7.701339722,
0.9,-7.74987793,
1,-7.731994629,
1.1,-7.719223022,
1.2,-7.64768219,
1.3,-7.387069702,
1.4,-7.085578918,
1.5,-6.888847351,
1.6,-6.753433228,
1.7,-6.679336548,
1.8,-6.623123169,
1.9,-6.566917419,
2,-6.510704041,
2.1,-6.477493286,
2.2,-6.543922424,
2.3,-6.620574951,
2.4,-6.674224854,
2.5,-6.796867371,
2.6,-6.985939026,
2.7,-7.264434814,
2.8,-7.548034668,
2.9,-7.708999634,
3,-7.744773865,
3.1,-7.724334717,
3.2,-7.708999634,
3.3,-7.6195755,
3.4,-7.353858948,
3.5,-7.070251465,
3.6,-6.896514893,
3.7,-6.766204834,
3.8,-6.681892395,
3.9,-6.620574951,
4,-6.561805725,
4.1,-6.505599976,
4.2,-6.503044128,
4.3,-6.579689026,
4.4,-6.681892395,
4.5,-6.819862366,
4.6,-7.026817322,
4.7,-7.31552887,
4.8,-7.588912964,
4.9,-7.726882935,
5,-7.744773865,
5.1,-7.72177887,
5.2,-7.706443787,
5.3,-7.560813904,
5.4,-7.254211426,
5.5,-7.001266479,
5.6,-6.845413208,
5.7,-6.735549927,
5.8,-6.6588974,
5.9,-6.595024109,
6,-6.536254883,
6.1,-6.48260498,
6.2,-6.513259888,
6.3,-6.592468262,
6.4,-6.674224854,
6.5,-6.809638977,
6.6,-7.014038086,
6.7,-7.30531311,
6.8,-7.581253052,
6.9,-7.72177887,
7,-7.742218018,
7.1,-7.72177887,
7.2,-7.703887939,
7.3,-7.550590515,
7.4,-7.249099731,
7.5,-7.003822327,
7.6,-6.850524902,
7.7,-6.735549927,
7.8,-6.653785706,
7.9,-6.592468262,
8,-6.536254883,
8.1,-6.487709045,
8.2,-6.520927429,
8.3,-6.589912415,
8.4,-6.605239868,
8.5,-6.602684021,
8.6,-6.651229858,
8.7,-6.773872375,
8.8,-6.932281494,
8.9,-7.180114746,
9,-7.476493835,
9.1,-7.683448792,
9.2,-7.74987793,
9.3,-7.729438782,
9.4,-7.686004639,
9.5,-7.471389771,
9.6,-7.159675598,
9.7,-6.950164795,
9.8,-6.809638977,
9.9,-6.707443237,
10,-6.635902405,30.59143448
10.1,-6.577133179,
10.2,-6.518371582,
10.3,-6.49282074,
10.4,-6.559249878,
10.5,-6.669113159,
10.6,-6.799423218,
10.7,-6.996154785,
10.8,-7.277206421,
10.9,-7.555702209,
11,-7.716667175,
11.1,-7.752433777,
11.2,-7.729438782,
11.3,-7.670677185,
11.4,-7.420288086,
11.5,-7.113685608,
11.6,-6.924613953,
11.7,-6.791755676,
