timedeltaindex,absolute_timestamp,accessspecid,antenna,channelindex,doppler,doppler_by_phase,doppler_channel,doppler_hz,epc96,estimated_rssi,id,interrogator_timestamp,inventoryparameterspecid,lastseentimestamp,phase,phase_rads,prx_moving_parts,relative_timestamp,rospecid,rssi,rssi_delta,rssi_from_mean,rssi_from_min,tagseencount,velocity_by_doppler,velocity_by_phase
00:00:00,2017-07-26 16:48:36,0,1.0,25.0,65521,0.0650521249667,-857578125.0,-0.9375,00e200600322f041ef000000,-49.8069498069,1,1501080167899318,1,1501080167899318,712,1.09219432097,-2.21536183756,0,1,-50,-7.0,0.597130912252,2.13590339203,1,-0.307248351325,0.021319635356
00:00:00.015485,2017-07-26 16:48:36,0,1.0,25.0,65535,0.0650521249667,-57171875.0,-0.0625,00e200600322f10741000000,-55.2,2,1501080167914803,1,1501080167914803,3440,5.27689391033,-9.21536183756,15485,1,-57,-7.0,0.535595118713,2.25711534841,1,-0.0204832234217,0.021319635356
00:00:00.030497,2017-07-26 16:48:36,0,1.0,25.0,4,0.0650521249667,228687500.0,0.25,00e200600322f10741000000,-57.2532852358,3,1501080167929815,1,1501080167929815,3448,5.28916575663,-10.2153618376,30497,1,-58,-1.0,-1.51769011705,0.203830112647,1,0.0819328936868,0.021319635356
00:00:00.040192,2017-07-26 16:48:36,0,1.0,25.0,65526,6.14725100766,-571718750.0,-0.625,00e200600322f041ef000000,-51.942853199,4,1501080167939510,1,1501080167939510,2736,4.19697143566,-2.21536183756,40192,1,-50,8.0,-1.53877247978,0.0,1,-0.204832234217,2.01464825311
00:00:00.090496,2017-07-26 16:48:36,0,1.0,25.0,9,-0.0388264352735,514546875.0,0.5625,00e200600322f041ef000000,-49.7885159501,5,1501080167989814,1,1501080167989814,2720,4.17242774305,-1.21536183756,90496,1,-49,1.0,0.615564769133,2.15433724891,1,0.184349010795,-0.012724648774
00:00:00.102454,2017-07-26 16:48:36,0,1.0,25.0,65533,0.0339286831024,-171515625.0,-0.1875,00e200600322f10741000000,-55.0676920485,6,1501080168001772,1,1501080168001772,3468,5.31984537239,-9.21536183756,102454,1,-57,-8.0,0.667903070212,2.38942329991,1,-0.0614496702651,0.0111195007423
00:00:00.123664,2017-07-26 16:48:36,0,1.0,25.0,3,0.117771647371,171515625.0,0.1875,00e200600322f041ef000000,-51.3578838216,7,1501080168022982,1,1501080168022982,2752,4.22151512826,-2.21536183756,123664,1,-50,7.0,-0.953803102357,0.584969377419,1,0.0614496702651,0.0385974874535
00:00:00.133705,2017-07-26 16:48:36,0,1.0,25.0,13,-0.015624500016,743234375.0,0.8125,00e200600322f10741000000,-55.48819954,8,1501080168033023,1,1501080168033023,3464,5.31370944924,-9.21536183756,133705,1,-57,-7.0,0.247395578714,1.96891580841,1,0.266281904482,-0.00512064199488
00:00:00.184395,2017-07-26 16:48:36,0,1.0,25.0,65533,0.0288980814756,-171515625.0,-0.1875,00e200600322f10741000000,-56.5949142879,9,1501080168083713,1,1501080168083713,3476,5.33211721869,-9.21536183756,184395,1,-57,0.0,-0.859319169175,0.862201060523,1,-0.0614496702651,0.00947081374918
00:00:00.201127,2017-07-26 16:48:36,0,1.0,26.0,3,0.0288980814756,171609375.0,0.1875,00e200600322f041ef000000,-50.3030003423,10,1501080168100445,1,1501080168100445,3892,5.97025322645,-0.205869061763,201127,1,-48,9.0,-1.27418699921,0.0,1,0.0614161003824,0.00947081374918
00:00:00.228033,2017-07-26 16:48:36,0,1.0,26.0,65529,-0.0362953430462,-400421875.0,-0.4375,00e200600322f041ef000000,-48.6170870819,11,1501080168127351,1,1501080168127351,3884,5.95798138015,-0.205869061763,228033,1,-48,0.0,0.411726261239,1.68591326045,1,-0.143304234226,-0.011888631637
