rssi_from_min,interrogator_timestamp,phase_cos_rads,doppler_hz,lastseentimestamp,phase_rads,doppler,tagseencount,doppler_by_phase,id,antenna,prx_moving_parts,velocity_by_doppler,absolute_timestamp,epc96,rospecid,prx_moving_parts_deoscillated,doppler_channel,rssi_from_mean,inventoryparameterspecid,phase,velocity_by_phase,channelindex,relative_timestamp,rssi,accessspecid
1,9.46687E+14,0.89596625,0.375,9.46687E+14,0.460194236,6,1,nan,1,1,24.39752372,0.12345679,7/24/18 17:22,35fffffff4a246cfdff1db01,1,24.70532935,341718750,0.518518519,1,300,nan,18,0,-46,0
0,9.46687E+14,-0.030674803,0.375,9.46687E+14,1.601475943,6,1,nan,2,1,37.39752372,0.12345679,7/24/18 17:22,00e200600322f148a4000000,1,37.70532935,341718750,-1.958333333,1,1044,nan,18,13239,-59,0
0,9.46687E+14,-0.290284677,1.5625,9.46687E+14,1.865320638,25,1,nan,3,1,41.39752372,0.514403292,7/24/18 17:22,e2801160600002073a496297,1,41.70532935,1423828125,-2.92,1,1216,nan,18,25126,-63,0
0,9.46687E+14,-0.128498111,-1.25,9.46687E+14,1.699650713,65516,1,0.293764873,4,1,37.39752372,-0.411522634,7/24/18 17:22,00e200600322f148a4000000,1,37.70532935,-1139062500,-1.958333333,1,1108,0.096712715,18,39815,-59,0
0,9.46687E+14,-0.260794118,1.5,9.46687E+14,1.834641022,24,1,-0.092483596,5,1,41.39752372,0.49382716,7/24/18 17:22,e2801160600002073a496297,1,41.70532935,1366875000,-2.92,1,1196,-0.030447274,18,51506,-63,0
1,9.46687E+14,-0.890448723,0.5,9.46687E+14,3.614058736,8,1,4.082012585,6,1,24.39752372,0.164609053,7/24/18 17:22,35fffffff4a246cfdff1db01,1,24.70532935,455625000,0.518518519,1,2356,1.343872456,18,61441,-46,0
1,9.46687E+14,0.881921264,-0.1875,9.46687E+14,0.490873852,65533,1,-5.257555345,7,1,24.39752372,-0.061728395,7/24/18 17:22,35fffffff4a246cfdff1db01,1,24.70532935,-170859375,0.518518519,1,320,-1.730882418,18,108713,-46,0
0,9.46687E+14,-0.122410675,0.625,9.46687E+14,1.69351479,10,1,-0.006063368,8,1,37.39752372,0.205761317,7/24/18 17:22,00e200600322f148a4000000,1,37.70532935,569531250,-1.958333333,1,1104,-0.00199617,18,120289,-59,0
0,9.46687E+14,0.225083911,1.1875,9.46687E+14,4.939418137,19,1,2.981336565,9,1,41.39752372,0.390946502,7/24/18 17:22,e2801160600002073a496297,1,41.70532935,1082109375,-2.92,1,3220,0.98150998,18,134321,-63,0
0,9.46687E+14,-0.16491312,-0.5625,9.46687E+14,1.736466252,65527,1,0.107764763,10,1,37.39752372,-0.185185185,7/24/18 17:22,00e200600322f148a4000000,1,37.70532935,-512578125,-1.958333333,1,1132,0.035478111,18,151984,-59,0
1,9.46687E+14,-0.183039888,0.0625,9.46687E+14,1.754874021,1,1,8.907296275,11,1,40.39752372,0.020576132,7/24/18 17:22,e2801160600002073a496297,1,40.70532935,56953125,-1.92,1,1144,2.932443218,18,161985,-62,0
1,9.46687E+14,0.919113852,0.375,9.46687E+14,0.404970928,6,1,-0.108112689,12,1,24.39752372,0.12345679,7/24/18 17:22,35fffffff4a246cfdff1db01,1,24.70532935,341718750,0.518518519,1,264,-0.035592655,18,171899,-46,0
1,9.46687E+14,6.12E-17,0.25,9.46687E+14,1.570796327,4,1,nan,13,1,41.40705295,0.082259391,7/24/18 17:22,e2801160600002073a496297,1,41.70523965,227937500,-2.833333333,1,1024,nan,19,219102,-63,0
1,9.46687E+14,0.999924702,1.625,9.46687E+14,6.270913461,26,1,nan,14,1,24.40705295,0.534686043,7/24/18 17:22,35fffffff4a246cfdff1db01,1,24.70523965,1481593750,0.5,1,4088,nan,19,230790,-46,0
1,9.46687E+14,0.170961889,0.375,9.46687E+14,1.398990479,6,1,nan,15,1,36.40705295,0.123389087,7/24/18 17:22,00e200600322f148a4000000,1,36.70523965,341906250,-1.153846154,1,912,nan,19,242352,-58,0
0,9.46687E+14,0.17700422,-0.0625,9.46687E+14,1.392854555,65535,1,-0.026551455,16,1,37.40705295,-0.020564848,7/24/18 17:22,00e200600322f148a4000000,1,37.70523965,-56984375,-2.153846154,1,908,-0.008736426,19,260742,-59,0
1,9.46687E+14,0.987301418,0.1875,9.46687E+14,0.159534002,3,1,0.341517728,17,1,24.40705295,0.061694543,7/24/18 17:22,35fffffff4a246cfdff1db01,1,24.70523965,170953125,0.5,1,104,0.112372162,19,270795,-46,0
0,9.46687E+14,0.207111376,-0.8125,9.46687E+14,1.36217494,65523,1,-0.213707039,18,1,42.40705295,-0.267343022,7/24/18 17:22,e2801160600002073a496297,1,42.70523965,-740796875,-3.833333333,1,888,-0.070317644,19,296732,-64,0
0,9.46687E+14,0.278519689,0.125,9.46687E+14,1.288543862,2,1,-0.108212366,19,1,42.40705295,0.041129696,7/24/18 17:22,e2801160600002073a496297,1,42.70523965,113968750,-3.833333333,1,840,-0.035605934,19,350879,-64,0
