rssi_from_min,interrogator_timestamp,doppler_hz,lastseentimestamp,phase_rads,doppler,tagseencount,doppler_by_phase,id,antenna,velocity_by_doppler,absolute_timestamp,epc96,rospecid,doppler_channel,rssi_from_mean,inventoryparameterspecid,phase,velocity_by_phase,channelindex,relative_timestamp,rssi,accessspecid
3.0,946688007826634,5.375,946688007826634,0.34974761963792617,86,1,nan,1,1,1.7862088064248132,2017-07-03 08:12:58,35fffffff4a246cfdff1db01,1,4852281250.0,1.0,1,228,nan,1,0,-56,0
0.0,946688007836271,0.125,946688007836271,1.6321555583103222,2,1,nan,2,1,0.04153973968429798,2017-07-03 08:12:58,00e200600322f148a4000000,1,112843750.0,-1.2999999999999972,1,1064,nan,1,9637,-49,0
0.0,946688007846196,0.125,946688007846196,1.0615147052168636,2,1,nan,3,1,0.04153973968429798,2017-07-03 08:12:58,e2801160600002073a494047,1,112843750.0,-1.0,1,692,nan,1,19562,-71,0
0.0,946688007866788,-0.1875,946688007866788,1.5892040962495242,65533,1,nan,4,1,-0.062309609526446964,2017-07-03 08:12:58,00e200600322f148a4000000,1,-169265625.0,-1.2999999999999972,1,1036,nan,1,40154,-49,0
0.0,946688007887805,-0.0625,946688007887805,3.6263305825616556,65535,1,nan,5,1,-0.02075837254359258,2017-07-03 08:12:58,35fffffff4a246cfdff1db01,1,-56453125.0,-1.9487179487179489,1,2364,nan,2,61171,-59,0
0.0,946688007944718,0.125,946688007944718,1.6996507129772904,2,1,nan,6,1,0.04151674508718516,2017-07-03 08:12:58,00e200600322f148a4000000,1,112906250.0,-1.3939393939393909,1,1108,nan,2,118084,-49,0
1.0,946688007954830,-0.125,946688007954830,0.5338253141842031,65534,1,nan,7,1,-0.04151674508718516,2017-07-03 08:12:58,35fffffff4a246cfdff1db01,1,-112906250.0,-0.9487179487179489,1,348,nan,2,128196,-58,0
0.0,946688007969704,0.125,946688007969704,1.6689710972195777,2,1,nan,8,1,0.04151674508718516,2017-07-03 08:12:58,00e200600322f148a4000000,1,112906250.0,-1.3939393939393909,1,1088,nan,2,143070,-49,0
4.0,946688007979613,0.5,946688007979613,0.5522330836388308,8,1,nan,9,1,0.16606698034874065,2017-07-03 08:12:58,35fffffff4a246cfdff1db01,1,451625000.0,2.0512820512820511,1,360,nan,2,152979,-55,0
0.0,946688008031601,0.125,946688008031601,1.6382914814618648,2,1,nan,10,1,0.04151674508718516,2017-07-03 08:12:58,00e200600322f148a4000000,1,112906250.0,-1.3939393939393909,1,1068,nan,2,204967,-49,0
3.0,946688008043378,-1.1875,946688008043378,3.8410878928656453,65517,1,nan,11,1,-0.39440907832825906,2017-07-03 08:12:58,35fffffff4a246cfdff1db01,1,-1072609375.0,1.0512820512820511,1,2504,nan,2,216744,-56,0
0.0,946688008066076,-7.875,946688008066076,4.399456899656019,65410,1,1.957599513172967,12,1,-2.6155549404926655,2017-07-03 08:12:58,35fffffff4a246cfdff1db01,1,-7113093750.0,-1.9487179487179489,1,2868,0.6501852797695988,2,239442,-59,0
0.0,946688008093285,0.375,946688008093285,1.7548740213411735,6,1,nan,13,1,0.12448132780082988,2017-07-03 08:12:58,00e200600322f148a4000000,1,338906250.0,-1.2564102564102555,1,1144,nan,3,266651,-49,0
0.0,946688008142805,-0.125,946688008142805,1.736466251886546,65534,1,-0.029580851171243847,14,1,-0.04149377593360996,2017-07-03 08:12:58,00e200600322f148a4000000,1,-112968750.0,-1.2564102564102555,1,1132,-0.009819369683400447,3,316171,-49,0
7.0,946688008158461,-0.875,946688008158461,3.9822141253511245,65522,1,nan,15,1,-0.29045643153526973,2017-07-03 08:12:58,35fffffff4a246cfdff1db01,1,-790781250.0,2.0540540540540562,1,2596,nan,3,331827,-55,0
7.0,946688008175410,-0.1875,946688008175410,3.8963112012295285,65533,1,-0.40332394241548253,16,1,-0.06224066390041494,2017-07-03 08:12:58,35fffffff4a246cfdff1db01,1,-169453125.0,2.0540540540540562,1,2540,-0.1338834663619859,3,348776,-55,0
0.0,946688008185071,-0.375,946688008185071,1.6751070203711202,65530,1,nan,17,1,-0.12448132780082988,2017-07-03 08:12:58,00e200600322f148a4000000,1,-338906250.0,-1.2564102564102555,1,1092,nan,3,358437,-49,0
6.0,946688008240239,-0.25,946688008240239,0.5154175447295755,65532,1,nan,18,1,-0.08298755186721991,2017-07-03 08:12:58,35fffffff4a246cfdff1db01,1,-225937500.0,1.0540540540540562,1,336,nan,3,413605,-56,0
0.0,946688008249876,0.0,946688008249876,1.5462526341887264,0,1,nan,19,1,0.0,2017-07-03 08:12:58,00e200600322f148a4000000,1,0.0,-1.2564102564102555,1,1008,nan,3,423242,-49,0
6.0,946688008270760,0.5,946688008270760,3.5465635815916023,8,1,nan,20,1,0.16597510373443983,2017-07-03 08:12:58,35fffffff4a246cfdff1db01,1,451875000.0,1.0540540540540562,1,2312,nan,3,444126,-56,0
0.0,946688008280398,-0.0625,946688008280398,1.4848934026733007,65535,1,nan,21,1,-0.02074688796680498,2017-07-03 08:12:58,00e200600322f148a4000000,1,-56484375.0,-1.2564102564102555,1,968,nan,3,453764,-49,0
0.0,946688008344123,-0.0625,946688008344123,1.6935147898257479,65535,1,nan,22,1,-0.020735416090682888,2017-07-03 08:12:58,00e200600322f148a4000000,1,-56515625.0,-1.3076923076923066,1,1104,nan,4,517489,-49,0
3.0,946688008354046,-0.0625,946688008354046,0.4970097752749477,65535,1,nan,23,1,-0.020735416090682888,2017-07-03 08:12:58,35fffffff4a246cfdff1db01,1,-56515625.0,0.88571428571428612,1,324,nan,4,527412,-56,0
0.0,946688008376612,-0.375,946688008376612,4.7860200582032,65530,1,nan,24,1,-0.12441249654409732,2017-07-03 08:12:58,00e200600322f148a4000000,1,-339093750.0,-1.3076923076923066,1,3120,nan,4,549978,-49,0
3.0,946688008390242,-0.625,946688008390242,3.5342917352885173,65526,1,nan,25,1,-0.20735416090682887,2017-07-03 08:12:58,35fffffff4a246cfdff1db01,1,-565156250.0,0.88571428571428612,1,2304,nan,4,563608,-56,0
3.0,946688008437656,0.1875,946688008437656,3.3870295796514958,3,1,-0.24715801240140037,26,1,0.06220624827204866,2017-07-03 08:12:58,35fffffff4a246cfdff1db01,1,169546875.0,0.88571428571428612,1,2208,-0.08199878763662716,4,611022,-56,0
0.0,946688008451699,0.0625,946688008451699,1.5401167110371838,1,1,nan,27,1,0.020735416090682888,2017-07-03 08:12:58,00e200600322f148a4000000,1,56515625.0,-1.3076923076923066,1,1004,nan,4,625065,-49,0
1.0,946688008471091,0.25,946688008471091,4.657165672020807,4,1,12.791196111798682,28,1,0.08294166436273155,2017-07-03 08:12:58,00e200600322f148a4000000,1,226062500.0,-0.3076923076923066,1,3036,4.243692378810732,4,644457,-48,0
3.0,946688008482874,0.0625,946688008482874,0.22089323345553233,1,1,nan,29,1,0.020735416090682888,2017-07-03 08:12:58,35fffffff4a246cfdff1db01,1,56515625.0,0.88571428571428612,1,144,nan,4,656240,-56,0
0.0,946688008549681,0.0,946688008549681,1.000155473701438,0,1,nan,30,1,0.0,2017-07-03 08:12:58,00e200600322f148a4000000,1,0.0,-0.57575757575757791,1,652,nan,5,723047,-48,0
4.0,946688008561487,0.0,946688008561487,5.970253226450915,0,1,nan,31,1,0.0,2017-07-03 08:12:58,35fffffff4a246cfdff1db01,1,0.0,1.0256410256410291,1,3892,nan,5,734853,-56,0
