rssi_from_min,interrogator_timestamp,phase_cos_rads,doppler_hz,lastseentimestamp,phase_rads,doppler,tagseencount,doppler_by_phase,id,antenna,prx_moving_parts,velocity_by_doppler,absolute_timestamp,epc96,rospecid,prx_moving_parts_deoscillated,doppler_channel,rssi_from_mean,inventoryparameterspecid,phase,velocity_by_phase,channelindex,relative_timestamp,rssi,accessspecid
3,9.46688E+14,0.939459224,5.375,9.46688E+14,0.34974762,86,1,nan,1,1,34.23472196,1.786208806,7/24/18 17:21,35fffffff4a246cfdff1db01,1,34.70604931,4852281250,1,1,228,nan,1,0,-56,0
0,9.46688E+14,-0.061320736,0.125,9.46688E+14,1.632155558,2,1,nan,2,1,27.23472196,0.04153974,7/24/18 17:21,00e200600322f148a4000000,1,27.70604931,112843750,-1.3,1,1064,nan,1,9637,-49,0
0,9.46688E+14,0.48755016,0.125,9.46688E+14,1.061514705,2,1,nan,3,1,49.23472196,0.04153974,7/24/18 17:21,e2801160600002073a494047,1,49.70604931,112843750,-1,1,692,nan,1,19562,-71,0
0,9.46688E+14,-0.01840673,-0.1875,9.46688E+14,1.589204096,65533,1,-0.111924638,4,1,27.23472196,-0.06230961,7/24/18 17:21,00e200600322f148a4000000,1,27.70604931,-169265625,-1.3,1,1036,-0.037194563,1,40154,-49,0
0,9.46688E+14,-0.884797098,-0.0625,9.46688E+14,3.626330583,65535,1,nan,5,1,37.24434088,-0.020758373,7/24/18 17:21,35fffffff4a246cfdff1db01,1,37.70604931,-56453125,-1.948717949,1,2364,nan,2,61171,-59,0
0,9.46688E+14,-0.128498111,0.125,9.46688E+14,1.699650713,2,1,nan,6,1,27.24434088,0.041516745,7/24/18 17:21,00e200600322f148a4000000,1,27.70604931,112906250,-1.393939394,1,1108,nan,2,118084,-49,0
1,9.46688E+14,0.860866939,-0.125,9.46688E+14,0.533825314,65534,1,-3.669130932,7,1,36.24434088,-0.041516745,7/24/18 17:21,35fffffff4a246cfdff1db01,1,36.70604931,-112906250,-0.948717949,1,348,-1.218642989,2,128196,-58,0
0,9.46688E+14,-0.09801714,0.125,9.46688E+14,1.668971097,2,1,-0.097643371,8,1,27.24434088,0.041516745,7/24/18 17:21,00e200600322f148a4000000,1,27.70604931,112906250,-1.393939394,1,1088,-0.03243068,2,143070,-49,0
4,9.46688E+14,0.851355193,0.5,9.46688E+14,0.552233084,8,1,0.059065907,9,1,33.24434088,0.16606698,7/24/18 17:21,35fffffff4a246cfdff1db01,1,33.70604931,451625000,2.051282051,1,360,0.019617793,2,152979,-55,0
0,9.46688E+14,-0.06744392,0.125,9.46688E+14,1.638291481,2,1,-0.03941576,10,1,27.24434088,0.041516745,7/24/18 17:21,00e200600322f148a4000000,1,27.70604931,112906250,-1.393939394,1,1068,-0.013091312,2,204967,-49,0
